ProjectOrder,Batch,Slot,QuestionID,Stage,StageName,LogicalTopic,Domain,Module,Subtopic,Difficulty,Question
38,8,3,Q2038,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What is operator precedence in Java?
39,8,4,Q2039,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,How does associativity affect evaluation of Java expressions?
40,8,5,Q2040,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D1 Foundation,What is the difference between prefix increment and postfix increment?
41,9,1,Q2041,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is the difference between prefix decrement and postfix decrement?
42,9,2,Q2042,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What happens when an integer arithmetic operation overflows in Java?
43,9,3,Q2043,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is numeric promotion in Java expressions?
44,9,4,Q2044,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is widening primitive conversion?
45,9,5,Q2045,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is narrowing primitive conversion?
46,10,1,Q2046,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,When is an explicit cast required in Java?
47,10,2,Q2047,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What happens when a narrowing cast loses information?
48,10,3,Q2048,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is variable shadowing in Java?
49,10,4,Q2049,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,"What is the difference between local, instance, and static variable scope?"
50,10,5,Q2050,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,"What are Java literals, and what kinds of literals does Java support?"
51,11,1,Q2051,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,"How do binary, octal, hexadecimal, and decimal integer literals work in Java?"
52,11,2,Q2052,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,"What are numeric literal underscores, and where are they allowed?"
53,11,3,Q2053,2,Language Fundamentals,Operators & Expressions,Java Fundamentals,Operators & Expressions,"Operators, Casting & Promotion",D2 Core,What is the difference between == for primitive values and == for object references?
54,11,4,Q2009,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,"What is the difference between if, if-else, and an if-else-if ladder in Java?"
55,11,5,Q2010,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,How does a switch statement work in Java?
56,12,1,Q2011,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What data types can be used in a traditional switch statement?
57,12,2,Q2012,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,"What is fall-through in a switch statement, and when can it happen?"
58,12,3,Q2013,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,Why is break commonly used inside a traditional switch statement?
59,12,4,Q2014,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What is the difference between a for loop and a while loop?
60,12,5,Q2015,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What is the difference between a while loop and a do-while loop?
61,13,1,Q2016,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,When would you choose an enhanced for loop over a traditional for loop?
62,13,2,Q2017,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What are the limitations of the enhanced for loop?
63,13,3,Q2018,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What does the break statement do inside a loop?
64,13,4,Q2019,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What does the continue statement do inside a loop?
65,13,5,Q2020,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D1 Foundation,What are labeled break and labeled continue in Java?
66,14,1,Q2021,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,"Can a loop run forever in Java, and what are common ways this happens?"
67,14,2,Q2022,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,How do nested loops execute in Java?
68,14,3,Q2023,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,What happens when return is executed inside a loop?
69,14,4,Q2024,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,Can a switch be nested inside another switch or loop?
70,14,5,Q2025,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,"What is unreachable code in Java, and when does the compiler reject it?"
71,15,1,Q2026,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,What is the scope of a variable declared inside a loop or conditional block?
72,15,2,Q2027,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,How does Java evaluate chained if-else conditions?
73,15,3,Q2028,2,Language Fundamentals,Language Fundamentals & Syntax,Java Fundamentals,Language Fundamentals & Syntax,Control Flow,D2 Core,What is the difference between a statement and a block in Java?
74,15,4,Q0032,2,Language Fundamentals,"Methods, Parameters & Callbacks",Java Fundamentals,"Methods, Parameters & Callbacks",Core Java,D2 Core,Do you know the meaning of Pass by Value and Pass by Reference in Java?
75,15,5,Q0033,2,Language Fundamentals,"Methods, Parameters & Callbacks",Java Fundamentals,"Methods, Parameters & Callbacks",Core Java / System.exit,D2 Core,Do you know about System.exit() in Java?
76,16,1,Q0034,2,Language Fundamentals,"Methods, Parameters & Callbacks",Java Fundamentals,"Methods, Parameters & Callbacks",Core Java / System.exit,D3 Applied,What happens internally when System.exit() is called?
77,16,2,Q0035,2,Language Fundamentals,"Methods, Parameters & Callbacks",Java Fundamentals,"Methods, Parameters & Callbacks",Core Java / System.exit,D4 Experience,Did you get a chance to use System.exit() in your project?
78,16,3,Q2054,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,What makes up a Java method signature?
79,16,4,Q2055,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,Can two methods differ only by return type and still be overloaded?
80,16,5,Q2056,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,"What are varargs in Java, and how are they declared?"
81,17,1,Q2057,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,How are varargs represented inside a method?
82,17,2,Q2058,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,Can a method have parameters after a varargs parameter?
83,17,3,Q2059,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,How does Java choose between overloaded methods when varargs are involved?
84,17,4,Q2060,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,Does Java pass objects by reference or pass references by value?
85,17,5,Q2061,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,What happens when a method reassigns an object parameter?
86,18,1,Q2062,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,What happens when a method mutates an object received as a parameter?
87,18,2,Q2064,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,What is array covariance in Java?
88,18,3,Q2065,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D1 Foundation,Why can array covariance lead to ArrayStoreException?
89,18,4,Q2066,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,How do you create and initialize a multidimensional array in Java?
90,18,5,Q2067,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,What is the difference between a rectangular and a jagged multidimensional array?
91,19,1,Q2068,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,What is the difference between array.length and String.length()?
92,19,2,Q2069,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,How does System.arraycopy work?
93,19,3,Q2070,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,What are common methods in java.util.Arrays?
94,19,4,Q2071,2,Language Fundamentals,"Methods, Arrays & Enums",Java Fundamentals,"Methods, Arrays & Enums",Methods / Arrays / Enums,D2 Core,What happens when you clone a one-dimensional array?
95,19,5,Q0057,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D1 Foundation,What are the advantages of Java being partially object-oriented?
96,20,1,Q0058,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D1 Foundation,What is meant by Code Reusability in OOP?
97,20,2,Q0056,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Object Creation,D1 Foundation,What are the ways to create an object in Java?
98,20,3,Q0059,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Classes,D2 Core,Can a class in Java exist without any methods or fields?
99,20,4,Q0060,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Classes & Objects,D2 Core,Can you explain the concepts of classes and objects?
100,20,5,Q0061,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Classes & Objects,D2 Core,Can you provide a real-world example of a class and an object?
101,21,1,Q0064,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D2 Core,"Why was OOP introduced in Java? Don't tell me the four pillars, just tell me why OOP was introduced and what benefits it provides."
102,21,2,Q0065,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D2 Core,Is Java a 100% object-oriented programming language?
103,21,3,Q0066,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D2 Core,How does abstraction differ from encapsulation?
104,21,4,Q0067,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D2 Core,Is there any benefit of Java being partially object-oriented?
105,21,5,Q0068,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D2 Core,"What is the difference between Association, Aggregation and Composition?"
106,22,1,Q0062,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Object Creation,D2 Core,Can a Java Object be created without calling its Constructor?
107,22,2,Q0063,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Object Lifecycle,D2 Core,Can you tell me the lifecycle of an object from creation to Garbage Collection?
108,22,3,Q0069,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",Object Creation,D3 Applied,What happens internally when you create an object in Java?
109,22,4,Q0070,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D4 Experience,What's the use of object-oriented programming in enterprise projects?
110,22,5,Q0071,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D4 Experience,How is OOP playing an important role in your project?
111,23,1,Q0072,3,Object-Oriented Domain Modeling,"Classes, Objects & Object Lifecycle",Object-Oriented Java,"Classes, Objects & Object Lifecycle",OOP,D4 Experience,How are OOP concepts very important in our development projects?
112,23,2,Q0073,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D1 Foundation,What is a Constructor?
113,23,3,Q0074,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Can a constructor be private?
114,23,4,Q0075,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Can a Constructor be overloaded?
115,23,5,Q0076,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,What's the use case for using different Constructors?
116,24,1,Q0077,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Can we call both super() and this() in the same constructor?
117,24,2,Q0078,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Can constructors be overridden in Java?
118,24,3,Q0079,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,"Can a Constructor be static, final, or abstract?"
119,24,4,Q0080,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Can a Constructor return anything?
120,24,5,Q0081,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,What happens if we put a return statement inside a Constructor?
121,25,1,Q0082,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,Why does a Constructor have the same name as its Class?
122,25,2,Q0083,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,What happens if a Class defines only a Parameterized Constructor and you try to create the Object using a No-Argument Constructor?
123,25,3,Q0084,3,Object-Oriented Domain Modeling,"Constructors, this & super",Object-Oriented Java,"Constructors, this & super",Constructor,D2 Core,"What is a No-Argument Constructor, and why is it important?"
124,25,4,Q0085,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Core Java / Packages,D1 Foundation,What are the best practices for naming Java Packages?
125,25,5,Q0086,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Core Java / Static Import,D1 Foundation,"What is a Static Import in Java, and how is it different from a normal Import?"
126,26,1,Q0087,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Access Modifiers,D2 Core,Can a top-level class be private or protected?
127,26,2,Q0088,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Access Modifiers,D2 Core,Can a Method be declared both private and protected at the same time?
128,26,3,Q0089,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Core Java / Packages,D2 Core,"In a complex project, how would you structure your Packages for maximum efficiency and maintainability?"
129,26,4,Q0090,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Encapsulation,D2 Core,How does encapsulation enhance software security and integrity?
130,26,5,Q0091,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Encapsulation,D2 Core,Why do we use Getters and Setters instead of making fields public and accessing them directly?
131,27,1,Q0092,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Java Packages,D2 Core,Can you tell me the use case of packages? Why do we use them?
132,27,2,Q0093,3,Object-Oriented Domain Modeling,"Access Modifiers, Packages & Encapsulation",Object-Oriented Java,"Access Modifiers, Packages & Encapsulation",Java Packages,D2 Core,What happens if two packages have the same class name?
133,27,3,Q0118,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Constructor / Inheritance,D1 Foundation,"What is Constructor Chaining, and how is it handled in Inheritance?"
134,27,4,Q0119,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance,D1 Foundation,Have you heard about Hybrid Inheritance?
135,27,5,Q0120,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance / Diamond Problem,D1 Foundation,"What is the Diamond Problem in Java, and how can we address it?"
136,28,1,Q0121,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Composition / Inheritance,D2 Core,"In Java, what does the principle ""Composition over Inheritance"" mean?"
137,28,2,Q0122,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Constructor / Inheritance,D2 Core,"If class B extends class A and both have constructors, which constructor is called first when creating an object of B?"
138,28,3,Q0123,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Constructor / Inheritance,D2 Core,What happens if the parent has no default constructor but only a parameterized constructor?
139,28,4,Q0124,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Constructor / Inheritance,D2 Core,Why must a super() Constructor call be the first statement in a Constructor?
140,28,5,Q0125,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Final Keyword / Inheritance,D2 Core,What's the impact of declaring a method as final on inheritance?
141,29,1,Q0126,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance,D2 Core,Can you please explain the concept of inheritance in Java and its types?
142,29,2,Q0127,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance,D2 Core,Can a class extend itself?
143,29,3,Q0128,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance,D2 Core,Is Multiple Inheritance possible in Java?
144,29,4,Q0129,3,Object-Oriented Domain Modeling,Inheritance,Object-Oriented Java,Inheritance,Inheritance,D2 Core,How does Inheritance work in Java? Provide an example as well.
